iban,date,currency,category,amount
AD88 5765 3225 KELB 6OYV F5YH,2025-06-29,UAH,Health,4916.96
NO96 0998 2325 542,2023-08-10,CNY,Office,-4294.62
IT33 C938 1148 825N 1F4W 3BPS KT8,2022-03-26,UAH,Food - Prepared Foods,1866.33
FR80 2480 8239 04TH JELU N5CR B62,2023-05-02,EUR,Food - Breakfast,1848.0
FR13 3779 7477 13V2 V3GD LBQN K02,2023-07-25,KZT,Food - Snacks,-4017.38
DO89 0XLQ 9600 8650 6923 8233 7111,2022-05-03,CNY,Outdoor,-64.49
PS10 FZRK 09TF AZIW ZZIM YRKL K0BO E,2020-09-19,CNY,Kitchen,2863.43
PT79 3970 7612 1493 5082 2557 7,2025-12-08,IDR,Food - Dairy,-3146.73
GI27 MHQW OY9Q SCEC TSKZ SIU,2021-01-24,IDR,Pets,2172.14
BG39 JVNE 0136 182X 8UFD QB,2025-07-31,PEN,Clothing - Bottoms,4417.87
EE88 6885 6990 6581 1852,2022-11-25,TND,Travel,-1996.18
FR20 0029 0529 78CO MEVM DO1V 927,2023-10-23,EUR,Pets,-1536.6
LB88 7968 UVVJ 3YGC VHVY SVTB HNKE,2020-04-03,BOB,Food - Sauces,1523.74
HU94 5301 3213 9745 3821 1815 6716,2020-09-15,CNY,Food - Dips,4610.2
LT80 4034 0547 7760 7563,2020-06-19,XAF,Outdoor,4654.41
MT69 YINI 3311 9QZY YMVO 1IDJ BNBX W4O,2024-01-20,IDR,Food - Spices,-3080.24
LU31 176E ZATP 6CRC CGFM,2020-06-16,RSD,Travel,4706.81
AE28 4652 5988 7912 2424 379,2020-01-04,UAH,Health,-220.05
GT95 EKHP OG8G 78U3 QRDA Y8Y5 EFQL,2022-10-19,BRL,Food - Produce,-4835.33
BH98 WIYX 0IA0 HIWK NGQQ JZ,2021-06-25,CNY,Accessories,4925.12
SK92 3577 3914 5106 5433 8584,2021-03-20,JPY,Food - Dairy,3661.21
MU91 ERNW 2300 7387 7065 5064 449S WC,2024-03-30,KMF,Food - Prepared Meals,808.23
FR60 3322 9884 73KP GIPC CDDZ 074,2023-01-23,JPY,Beauty,1604.04
LT52 7976 5202 9631 8579,2022-09-08,CNY,Food - Dairy,3841.86
FR17 3339 7097 7631 X0SK A4IY 147,2021-06-21,EUR,Travel,4485.78
ME59 9436 4405 5592 9827 27,2026-01-02,EUR,Clothing - Tops,-1867.2
PK08 JGWR QRVN WCQV 69CB UYHZ,2024-03-10,CNY,Food - Salads,-4081.49
GB04 WGKE 4232 0366 6782 93,2025-11-05,CAD,Food - Canned Goods,4185.44
RS05 4133 6083 6859 5035 54,2020-10-28,RUB,Food - Bakery,4459.59
DK43 3384 9212 8326 24,2026-01-23,EUR,Fitness,-2090.95
KZ43 340V WGYW OGR2 OX32,2025-05-10,CNY,Food - Breakfast,-885.46
PT87 0735 0552 3503 8327 5305 0,2025-01-25,RUB,Pets,-3481.26
FR71 1031 9815 55GW EOGK YAFZ M12,2023-04-14,EUR,Tools,-4820.47
PT04 7171 5627 3222 0843 8260 6,2024-12-02,ARS,Kitchen,-1701.25
TN46 8479 7107 8931 6325 3952,2022-02-12,MDL,Electronics,2774.78
AZ47 WVEF HJFU AUVY MOJU 8DHA YTT1,2024-11-03,NZD,Food - Condiments,2570.45
LV08 SDLB 5XJL GHPQ BMY3 Q,2025-09-16,CNY,Food - Canned Goods,2417.05
HU12 9786 7252 0664 8878 8671 9939,2024-08-11,RUB,Food - Sauces,3869.2
FR30 7900 5117 20KZ UF58 CZ6A S89,2021-08-31,CNY,Food - Condiments,2826.42
NO41 7873 1798 503,2021-10-13,IDR,Food - Prepared Meals,-2559.48
AL19 2619 4692 TE7Z XPTP NWTN LA8K,2024-10-15,MXN,Outdoor,-1066.82
FR26 1599 9702 860T IQSP W710 P35,2025-04-12,IDR,Food - Canned Goods,4509.56
BR66 0059 2027 0978 5489 7210 331K 0,2023-03-20,VEF,Food - Prepared Foods,4267.83
CH55 5239 3WKY 6AFB MA7G X,2020-06-12,CNY,Food - Snacks,-4867.16
IS61 4894 5842 5073 1211 0343 47,2021-09-06,VND,Kitchen,654.02
LV88 VNXS BED4 SW16 NZLL H,2020-08-16,CNY,Food - Snacks,-1364.63
ES16 5957 6363 9487 5668 2983,2023-10-13,CNY,Home,-3069.74
GR18 3465 729S IHM7 ODKF DEDK OED,2020-06-25,CNY,Food - Salads,286.06
IS47 1470 5122 6335 8442 8535 46,2022-07-09,BIF,Food - Bakery,4664.98
BA76 0446 6553 2154 5267,2024-07-28,CZK,Food - Vegetables,3916.54
EE10 4474 1128 6850 7708,2023-05-10,EUR,Home Appliances,-3054.28
NO50 9952 8783 126,2024-06-19,EUR,Kitchen,4637.96
FR63 8674 9147 10U4 SEMX 0KC9 J65,2022-12-25,PLN,Kitchen,2067.39
FR91 6235 8022 37MQ FCX0 WLUC F89,2020-07-28,BRL,Food - Condiments,-1822.83
FR27 5814 1451 85CX PUBK C50Y K84,2020-06-30,USD,Outdoor,1909.79
PT38 6441 0483 2737 5323 7896 2,2021-01-18,ARS,Kitchen,1886.3
FO97 8041 8451 8998 19,2020-05-01,EUR,Kitchen,-3261.25
IS45 3482 5326 0490 7712 8379 94,2025-10-11,MMK,Food - Grains,-4531.84
AT12 7994 7341 3697 9056,2024-05-17,KGS,Garden,3783.41
FR22 9860 9502 137G RAQ6 HP0B C81,2023-07-20,BRL,Kitchen,109.88
GL57 6873 8273 6946 63,2020-09-19,EUR,Kitchen,4020.49
IS23 3794 9282 5610 1389 5972 31,2020-06-08,MYR,Food - Spices,-4077.64
PL19 2841 8369 5912 3903 1015 4761,2024-10-13,USD,Food - Condiments,2793.34
FR02 9578 7094 79XE BQAY JZGL C06,2024-06-17,COP,Food - Vegetable,-4479.11
AD55 8289 3414 2JDW UVAE 4RG3,2022-08-25,CNY,Home Improvement,-2270.37
SI57 2315 9795 2815 237,2024-10-18,IDR,Food - Breakfast,-3070.07
DO62 XKSH 3644 9533 9072 3469 7087,2023-01-26,PHP,Food - Baking,573.93
FR23 3834 2073 38FO UDIS YJNA N14,2025-04-23,EUR,Food - Snacks,1805.8
FR42 6447 1166 15IQ 9IW1 MRAK D30,2021-01-25,JPY,Outdoor,-4842.05
GE57 JZ36 6529 0924 3138 21,2025-03-06,EUR,Food - Meat,4821.7
SI21 7961 6590 3591 895,2024-11-04,USD,Food - Fruits,4434.02
AT22 2089 3700 7244 0450,2022-02-28,AFN,Food - Seasonings,-3058.49
FI06 0272 6209 5992 00,2024-01-07,IDR,Food - Snacks,3524.73
GT74 DSBT GRG3 ZBWY 3GF9 JE43 OFUO,2020-12-27,PLN,Food - Dairy,599.76
MD62 GQX6 WPAT Q7NG JVSI D11V,2020-11-01,CNY,Food - Meat Substitutes,209.21
DK90 9138 1214 0612 67,2022-11-16,CNY,Food - Condiments,-908.58
DK79 5658 9869 8796 42,2021-09-15,PHP,Food - Spices,-245.13
ES13 5551 1883 5465 2006 3244,2025-06-03,AED,Food - Frozen,2842.98
HR58 1130 6686 6165 2207 8,2025-03-20,CNY,Food - Snacks,1738.15
TN30 1341 4708 5435 7397 6850,2025-02-12,UAH,Health,-3867.29
RS28 3788 4148 5990 8250 70,2022-03-22,XAF,Food - Condiments,1897.15
LT28 7058 0727 0608 2438,2022-03-30,GHS,Food - Meat,-2407.84
NO72 7440 4434 430,2023-03-07,BMD,Food - Bakery,-3951.75
FR24 8393 9103 36X8 3ZJZ HC9A B95,2025-06-05,GTQ,Home,-1597.61
LV80 KWKU XSRY ABEB ZADS C,2023-11-13,CNY,Food - Condiments,2806.05
FR29 0952 3064 438A CH4Q UX98 T47,2024-11-19,BGN,Kitchen,-558.81
GE89 HT75 9381 2913 4626 27,2023-05-12,MKD,Toys,-1045.07
FR07 7189 3007 610I I1AL TAVQ S48,2021-12-31,CAD,Fitness,1269.73
FR45 5131 1350 07PG PCA0 8RM5 U26,2020-05-31,VND,Food - Snacks,-2700.74
FR92 6921 4364 54JQ YDCV G8NQ 334,2023-04-24,CNY,Food - Frozen Foods,48.66
IT60 D714 6364 183B GEIR OEQ1 KGH,2022-11-19,PHP,Kitchen,1053.21
FR32 5006 1766 87MV FXXD BB96 V39,2025-02-08,CNY,Home,-1150.33
PS37 KPZU HVGG 0XTW APSH NUHL UHVX N,2022-02-07,CAD,Food - Condiments,-3485.41
GE85 JQ53 8148 3667 1807 28,2022-04-25,PEN,Kitchen,-377.76
SE74 0595 4328 0547 4138 1256,2021-03-17,UZS,Accessories,-2063.85
CH76 8468 9BK2 OLJI QOIR N,2023-04-20,IDR,Health,-1141.36
FR10 5431 1947 21WR KJSH GNBY 953,2025-09-08,RUB,Clothing - Pants,-3393.84
KW30 BPWT 5QBT SWAT JXMB 8SQP CCKQ YR,2023-10-04,CNY,Tools,3417.9
TR80 7054 4XQ2 TIOZ 4GAU VHHV YK,2024-02-09,BRL,Food - Grains,-1373.54
FR66 6270 2995 87NL IILT YJQB 071,2024-02-19,JMD,Kitchen,-2346.49
LB56 4152 YKD6 5A68 XYDR LHXY WQMY,2024-11-22,SYP,Food - Frozen Meals,-3045.5
TN63 7188 3906 3634 7232 2704,2022-11-05,CNY,Toys,-3909.37
DO33 RPKT 7506 8230 2137 5139 2989,2023-11-19,PHP,Fitness,-383.22
BA94 9513 9972 5035 0960,2023-03-09,HNL,Fitness,4607.43
AZ04 XALX OJIL XZJA TD6I XPZK JCRT,2023-03-21,RUB,Food - Salads,-1674.24
LV49 PJUQ NQHS T8KJ RWLD I,2023-05-29,PHP,Food - Beverages,-1856.23
GE94 XI40 5602 9190 2499 37,2021-09-14,PHP,Food - Sides,-1543.07
VG10 FNZO 7502 6279 4024 8474,2023-02-06,CNY,Food - Beverages,273.79
ES04 6017 2330 4472 4803 8006,2022-02-05,PEN,Food - Snacks,-2589.57
PS46 ZDYT FTHT C5OB C4XC MWSJ VDHW U,2020-03-15,NOK,Automotive,-4087.29
LI88 5742 5MWM S9YI 5ZYJ B,2021-09-03,TWD,Food - Condiments,4843.18
SK71 9971 4133 9476 7417 4691,2022-12-25,CNY,Food - Frozen Meals,-2549.29
DE13 7589 1490 4759 0364 09,2025-12-22,UZS,Home,3572.82
IE37 FGVR 9007 7218 8966 55,2024-08-31,UAH,Clothing - Footwear,-2059.44
DK56 2462 2740 7942 92,2020-08-08,MXN,Food - Spices,3782.5
PT96 7628 5656 9224 7170 0735 4,2023-06-23,EUR,Food - Bakery,-2372.35
PL95 9634 7319 0885 3209 1054 9603,2022-10-07,EUR,Outdoor,-3449.58
FR19 0716 3315 47WL XSXS RFND E47,2020-11-19,CNY,Food - Snacks,-4601.7
DE23 6534 4247 6957 1320 57,2021-08-14,EUR,Clothing - Tops,-4419.19
MT16 NUHW 0445 88RR 4GT9 LWCH QEZA DGC,2021-04-11,CNY,Electronics,1014.04
FR73 8350 2737 70FZ AGQZ 2SMU T67,2023-10-20,NOK,Food - Breakfast Foods,3403.97
SI41 2723 1223 1691 409,2024-02-17,CZK,Food - Cereals,4890.43
SA30 99WZ IV5Z NHBZ QXIM LZZQ,2022-07-09,CNY,Food - Bakery,-3478.77
MK59 380T 0OQP UPWQ 048,2024-07-19,CNY,Kitchen,1452.34
GI59 OCIU NBNM PXFE EMCE 3D0,2024-05-05,PEN,Food - Baking,1272.56
CY35 1480 6426 ZISA JQK9 XDYE BEYP,2025-10-07,USD,Food - Sauces,2333.32
SE10 0582 4723 5796 0790 3587,2020-01-18,IDR,Safety,-3357.99
PT65 1151 6701 9297 1022 8682 4,2022-06-17,IDR,Smart Home,-190.19
MU57 FGRJ 3004 0229 7602 4476 393C LZ,2023-11-29,CNY,Food - Condiments,-4107.26
GR13 5334 793V 7SHC 9MHU SNX3 GOE,2022-06-05,CNY,Food - Beverages,974.72
LV07 KWXW 5NUG F345 Q5CP O,2020-11-19,XOF,Automotive,-3262.08
LI17 1241 8BRR Z0ND WIPR E,2024-01-01,CZK,Fitness,-324.04
GB48 YYYF 8704 2273 5537 89,2020-03-01,ARS,Clothing - Jumpsuits,-450.54
PT87 1616 2882 2725 9891 9516 0,2025-07-13,IDR,Food - Soups,-1520.92
PL23 9996 1569 2959 6818 5102 8713,2023-05-21,IDR,Home,1098.89
FR73 4211 0538 32QH NQP2 QHA4 X79,2024-06-30,PLN,Audio,4143.87
FR03 2140 1151 24ST VJ5Z OELM 731,2024-06-27,SEK,Food - Snacks,291.81
SK47 6633 6614 8564 0681 1753,2023-11-11,SEK,Fitness,-3970.45
FR70 6308 7488 77EA RW73 JLIL 403,2021-07-26,RUB,Fitness,-363.31
BR12 4918 3037 2469 9039 7859 780G Q,2021-05-10,ARS,Home,2509.22
MU48 FXPE 4405 0800 4656 1855 964E DI,2022-09-15,IDR,Food - Breakfast,-2814.39
CH74 5092 3HSD OPYE FOFK T,2021-05-13,CNY,Food - Dressings,-1231.81
ME92 7204 7975 8590 6862 49,2020-01-19,IDR,Food - Confectionery,1109.85
AL41 4630 0291 D5MU LPMU OYKI BEXT,2023-09-25,CNY,Food - Snacks,1388.8
AD93 8492 8347 D3RM NDRW MWPT,2022-06-05,UAH,Food - Snacks,2674.05
AZ36 SBRC EFUF WY1K YORX OLDF DUNN,2023-10-22,PEN,Kitchen,4283.72
AE77 5865 1266 9615 1597 868,2024-04-02,EUR,Home,-2184.25
CR75 1009 0924 2104 8702 1,2021-01-28,IDR,Food - Grains,2127.34
NL69 NFII 9396 9454 23,2025-07-09,IDR,Food - Condiments,3011.02
FR56 4268 3708 59BP TGIJ MDVL V43,2023-05-25,IDR,Food - Condiments,3673.34
AZ02 VBFH FJSA OZXT 1PZB CVOM SBZ9,2020-09-08,CNY,Food - Sauces,-763.9
BG50 KFBB 6985 70HR 5ZPW MY,2020-11-12,CNY,Food - Bakery,-4568.98
PK34 IFUG SH7Z 7MPH SNFY 5NXO,2020-12-18,ARS,Food - Condiments,4611.54
BA32 8926 2739 4575 4713,2025-05-12,RUB,Food - Condiments,1164.75
MD38 KBDD LPBM FYAO UZZT X81X,2022-09-25,CNY,Outdoor,-4184.05
LU71 476E CJVW IP7G XLMW,2023-02-18,PHP,Automotive,-269.48
MT87 FCCH 9250 34DH M35K CAAF OBN2 HDP,2022-12-24,PKR,Automotive,-1632.2
MC61 0058 0193 93OE 47TQ 4BNX 570,2022-11-03,SEK,Pets,1639.31
FR55 4567 8491 61JA HWSZ WQW2 X05,2022-03-01,PEN,Outdoor,-3871.03
BH66 GPCL 80SP JITU H7XR PA,2024-07-09,EUR,Audio,-3831.41
RS68 4612 1729 5791 8350 33,2022-04-05,MXN,Food - Bakery,2987.09
FR33 3988 8040 88VZ PPXN KGR8 W31,2024-04-12,IDR,Food - Meat,3782.32
GR80 8357 357Y 17CI ZVIJ PAD1 F5X,2020-06-26,PHP,Food - Spices & Seasonings,2658.47
DK84 7957 7868 6987 08,2024-02-23,CNY,Office,-3127.68
SA04 14SX EILQ 5HZP S5MT W78W,2025-08-26,IDR,Food - Canned Goods,2941.45
MR75 9842 5059 0617 5309 6618 719,2025-10-05,EGP,Food - Frozen Meals,-323.15
GL56 3029 1085 9421 86,2021-01-11,GTQ,Outdoor,1920.66
IS67 2267 8934 7657 6028 9999 48,2024-03-30,TND,Food - Condiments,2875.61
FR76 8710 8880 57KO IDIK VO7L L21,2025-09-20,CZK,Fitness,-1988.56
AE82 4401 7036 8963 8590 372,2024-12-30,RUB,Food - Baking,1234.94
FR49 4846 1143 70IV 19WP MFTK X92,2025-10-26,IDR,Food - Snacks,2766.22
SI69 2872 6700 0868 157,2022-01-05,TND,Kitchen,3409.41
AD40 4221 1960 C0BB NAYY UYUW,2021-10-20,IDR,Food - Frozen Foods,-1909.02
KZ13 370J TLFC COU5 ZBO4,2020-11-11,EUR,Food - Canned Goods,1882.46
CZ35 2933 1279 8151 1695 5763,2025-11-05,EUR,Food - Dairy Alternatives,333.93
BH17 TMPP OUPE QEYK XXB4 QJ,2026-01-11,ARS,Food - Dairy,-2652.14
GL77 5273 6047 5923 42,2025-07-02,CNY,Food - Produce,1749.82
LT14 6299 2212 9645 3728,2022-07-17,BWP,Pets,-1738.18
CY51 8122 1378 SQQG ENDW LVJX HED6,2023-10-26,USD,Food - Breakfast,-1313.87
AT47 4884 8352 5474 9394,2024-07-19,MXN,Outdoor,4230.07
BA51 3455 0750 9125 8722,2024-12-25,EUR,Food - Meat,-1293.74
MT43 QVDW 6239 6TTJ RTDZ BGNP OYMY FFG,2024-10-08,BGN,Storage,263.3
EE39 9045 6664 5246 5905,2025-01-06,RUB,Pets,-375.32
NL54 BWSU 4891 2524 47,2022-10-06,EUR,Clothing - Bottoms,-4791.07
SK75 8817 4576 1578 0434 7374,2024-07-24,CNY,Clothing - Tops,-619.93
GI05 DQYY 1L3V MXTK BOAQ SOY,2023-05-12,HTG,Garden,2811.35
GI88 WGUS BB9W Y1ZO NFKY K8C,2025-04-24,BRL,Outdoor,2313.14
CH34 3258 8PCI WFPO ZT8Z Z,2023-05-31,CNY,Food - Condiments,4369.17
FR11 5428 4429 75WF O8XA V1NC 649,2025-12-12,PHP,Home Appliances,-4441.58
FR44 0362 8896 66T0 SN3O ZPWL 990,2024-10-06,BRL,Food - Breakfast,-1099.78
KW40 KDHK HWLB DW9S ENNE RFDS 7LWR 9D,2023-08-01,PHP,Outdoor,-2178.22
GI08 OAPG CR4K WURE AFC6 4LB,2021-05-13,IDR,Food - Condiments,-102.61
SI89 2862 8050 5850 860,2023-08-09,AMD,Food - Meal Kits,1042.69
PT86 8602 7059 1172 9684 5799 8,2025-06-16,CNY,Clothing - Bottoms,3553.68
SA10 412S 1Y2L 52JZ QIYQ CDYH,2022-08-08,IDR,Electronics,4849.12
PL34 9040 9541 9437 8628 1747 8382,2025-01-03,CNY,Pets,-2150.43
GT61 IEHX OHFZ H9MW S9YV G5YK JY7R,2024-05-17,MXN,Food - Salads,-3595.57
GE64 KH89 6552 1493 8252 37,2020-06-07,BAM,Kitchen,1144.6
MC87 2817 5447 53VI MCJL LNZJ Z33,2020-07-16,CNY,Food - Soups,510.55
FI94 4902 0128 2922 39,2021-06-07,CNY,Clothing - Accessories,-2500.93
FR92 6613 0584 11SE QGOD BPP1 H78,2022-12-13,RUB,Pets,-1753.5
SE63 0774 4614 8823 7797 2500,2023-05-28,BRL,Food - Beverages,3074.64
ES83 7355 4271 2246 7545 5971,2022-03-11,IDR,Food - Pasta,2352.54
GE43 BC83 2253 4604 8584 44,2022-02-15,XAF,Health,2913.23
AE67 8135 4918 4621 2047 787,2022-05-12,THB,Food - Canned Goods,-4037.69
FR87 7596 5104 04S4 JFKF LVQN T90,2021-02-27,CNY,Food - Condiments,4466.98
IE65 XEKM 4409 4433 1779 59,2023-02-23,HNL,Food - Oils,3724.94
MU71 UAGZ 0289 5337 9033 6619 782K LM,2024-08-20,RUB,Bathroom,1737.43
IS43 6604 6883 7777 2883 4563 20,2021-03-14,ARS,Kitchen,-2822.54
NL06 PVCW 6429 0706 34,2022-05-20,AFN,Food - Canned Goods,4296.2
AZ86 GGTL V357 TWKR Y9FU UW2K MKBJ,2022-07-06,PLN,Home,3602.85
ES44 6503 8011 3087 0033 3710,2020-04-29,PLN,Food - Salads,-1325.5
GB96 KPCH 9820 8892 7436 86,2020-04-13,RUB,Music,-4178.06
ES95 3096 2754 2880 1366 4309,2021-12-01,ZAR,Home,403.5
BR71 2874 9208 5540 8764 2925 016T 1,2025-01-16,EUR,Food - Marinades,1226.48
CZ71 3534 4954 6088 7639 1306,2021-03-15,IDR,Home,969.62
LU02 562Y 495V EX98 XNXK,2021-09-22,ARS,Food - Condiments,3017.78
FR70 7635 1956 59YN F8LY 8BHJ T75,2022-11-05,RUB,Kitchen,1894.0
GB40 LZYH 8698 5305 8845 91,2020-03-24,BSD,Food - Spices,-3650.6
DO50 EWEN 1238 3902 2361 5093 0481,2020-09-07,CNY,Outdoor,-4945.84
DE04 7480 9637 0667 0823 62,2025-11-22,ZAR,Office,-4311.68
AZ08 AKCO MZRF YXQB EIRK PV0X AQ7A,2020-08-26,PLN,Outdoor,-1642.38
IL44 9378 8831 0512 3022 936,2021-10-13,CNY,Food - Meat,-4697.08
FR35 5626 4223 16XD J5NB 99MX R63,2020-12-23,SEK,Storage,3467.66
FO18 3897 2770 2828 34,2020-12-05,CNY,Food - Snacks,-3974.42
VG09 XBVW 2480 6840 3263 7110,2025-08-10,RSD,Food - Snacks,-4243.01
LV69 OOOL SKOF YNIE BBOD 5,2021-11-07,JPY,Electronics,1455.59
KZ71 394T REPK EJWN GS4P,2023-05-31,CNY,Wearable Tech,4481.2
ES95 5318 3108 3050 6228 4329,2025-05-25,RUB,Food - Bakery,1511.11
LI20 5132 2HTN K92R EPB9 9,2024-07-26,MXN,Kitchen,513.07
RO10 SYAB OBYL ELCT DHVM R2DV,2022-01-16,JPY,Food - Frozen Foods,-891.91
FR29 3679 8001 67RD QIRR OVH5 W24,2022-08-09,PHP,Food - Canned Goods,2927.52
LT29 4402 5364 9107 7985,2024-05-07,CNY,Kitchen,-495.63
MK49 8071 K18M FKRS K87,2022-03-07,SEK,Food - Frozen Foods,920.47
FR98 2530 7656 85S3 X7LP XGMK B04,2021-06-24,CNY,Accessories,-3322.03
FR07 1840 2028 66TB HQ3H FIFW B64,2021-11-14,THB,Food - Baking & Cooking,3733.8
GT60 SKGC NEQ1 N6JB RQPZ TENL WGD0,2022-03-17,PHP,Home,13.97
LT11 0352 6263 4793 0761,2020-11-18,PLN,Food - Frozen Meals,1071.27
KW94 SHZN QMPY IDQR MO7R WFXS 2X7L JR,2025-11-09,CAD,Food - Snacks,-2366.92
SK25 8719 0331 8877 8296 1511,2025-12-15,EUR,Food - Salads,3046.64
IE30 HIXT 5136 0535 4457 27,2025-10-20,CNY,Kitchen,3783.89
NL39 VKSH 1599 8604 87,2020-01-16,THB,Fitness,3780.46
RO42 NIEA MIJA B7VJ HNVO J0EB,2024-01-09,CNY,Food - Baking,3572.63
HU77 3208 9299 9402 1532 0682 0667,2024-11-15,BGN,Fitness,2486.66
RO46 VPUM MVJQ 3MIW 6NQW M5PT,2020-12-08,EUR,Clothing - Outerwear,1542.1
FR96 5521 6285 72I5 4KVB WITQ J11,2022-03-08,NIO,Clothing - Dresses,1041.33
LB64 0492 VETA 9M7M WFLS G4DQ KJKC,2021-06-05,EUR,Food - Breakfast,3164.87
SK88 4330 0450 8639 4089 8339,2025-06-24,ZWL,Fitness,-1080.14
PS70 TANA CFCL JFW4 H0TK SJVV VEHJ K,2022-05-18,EUR,Food - Bakery,2204.27
FR37 9893 9010 03BI ITLW ZR3I 068,2020-01-23,JPY,Food - Frozen Foods,826.43
MD15 NRPH HBVF O8X2 WOXK LAZS,2024-11-13,EUR,Pets,3097.14
BR98 8743 2035 3046 1723 1359 491X H,2024-09-10,CNY,Food - Beverages,-1202.31
SA27 43X6 V09Q BYT1 AV3M FZG5,2025-02-21,DOP,Outdoor,1851.44
PK93 CLMB PT64 PMXU FHA0 RIBJ,2023-02-01,UAH,Food - Snacks,-4670.43
GI98 FXUC BNHA USSM UDFH 2ZM,2023-11-01,CNY,Food - Meat,-2434.48
FR53 4344 8933 65ZU SWJ7 SWHV U07,2023-11-08,MAD,Clothing - Shirts,4844.44
TN03 3311 6258 3436 8317 9350,2022-06-02,RUB,Clothing - Pants,3457.73
FR73 3065 1329 79CL NVF3 UNBY Y21,2021-02-12,PLN,Beauty,4470.07
TN26 7719 9181 3256 6827 0727,2022-05-29,PHP,Kitchen,1718.37
TR93 4800 4SRW MYVP TXLJ NFPW VE,2020-05-28,EUR,Food - Cooking Oils,2673.35
FI27 7714 4739 4394 33,2023-06-12,IDR,Outdoor,-3555.86
FO07 4644 6346 6539 86,2022-12-27,RUB,Health,1356.95
AZ54 AEXK AVZP EKVN 10RK KHX8 2CG5,2022-09-01,IDR,Food - Snacks,953.21
FR25 4457 7640 25HM KZYJ 8FZL O68,2025-06-02,IDR,Outdoor,3979.15
NL45 LJCU 0360 0941 27,2023-01-25,PLN,Outdoor,1666.52
SE95 9724 3610 5292 6222 4117,2023-03-09,CNY,Kitchen,4531.16
IS42 0955 0870 3658 6336 3945 63,2021-09-13,CNY,Kitchen,-987.18
BA75 2121 6145 1653 9629,2021-02-09,EUR,Audio,2416.66
FR62 3498 8492 40RH JRCQ QUXE D00,2023-01-13,CNY,Toys,-2946.31
BG39 LEVD 3018 84IF LWLM SU,2025-09-08,CNY,Outdoor,-3651.34
TN43 5517 7499 4579 5792 1559,2021-09-15,CNY,Food - Salads,4693.15
AL31 6296 3528 B0BO 2D0Q LQXO ZR8H,2020-01-07,KRW,Food - Canned Goods,-2881.05
ME43 7841 9366 9633 7780 16,2023-12-14,EUR,Electronics,1362.49
MT04 MCED 1984 8KR2 NO0R WUFV FRSM 2T9,2020-08-27,SEK,Toys,-132.66
MD70 ABOS YJBY VPZM TAEF QILW,2023-06-13,HUF,Kitchen,-3607.31
BA25 7412 6918 3952 9741,2022-10-18,ARS,Toys,3228.77
TR96 4284 48LA AUJA D1IN VVQK KU,2020-10-08,PHP,Food - Bakery,4935.63
MK26 854C JOWP 4AV3 B75,2021-09-05,CNY,Food - Baking,-887.33
CR78 1878 9006 5401 6452 9,2024-10-10,CNY,Food - Pasta,-989.08
KW40 NKAP KINQ A8WC KAFF NFPC 4IMF UY,2024-12-09,CZK,Grooming,1025.47
SK47 5363 5097 3396 7515 7299,2022-06-17,BAM,Food - Frozen,1598.43
PS92 MCEC ZVN9 6VSE 2XKN I9DQ R7PM Y,2024-04-04,CNY,Garden,4767.09
IS33 8286 5100 3624 3471 5566 21,2021-03-10,IDR,Food - Meat Alternatives,2124.9
VG45 ZKQU 6304 7458 9411 8009,2023-09-02,COP,Art Supplies,-2334.32
PK85 BJGT I3NZ LIF9 0CQ6 VD6K,2022-03-23,GMD,Food - Salads,933.08
RO61 FQQD BGJG AW4X J4UA Y9DI,2021-07-15,EUR,Food - Frozen Foods,-2401.96
TN39 6931 7764 4531 5542 5306,2021-07-11,COP,Food - Salads,-140.95
FR49 6553 6257 01K7 O7N3 RJ5I 902,2021-10-09,IDR,Food - Condiments,-702.84
GE26 KL30 9327 0312 9993 19,2024-12-25,EUR,Food - Snacks,4444.14
AD86 2434 2807 QK2T NZUX VUJC,2020-11-09,MNT,Art Supplies,-2663.89
SA71 21IP SS8W BWTZ MVGL RB1H,2024-09-18,RUB,Accessories,2299.59
FI64 6359 0507 3649 95,2025-02-06,CNY,Food - Bakery,3147.87
FR42 4358 5460 99Z7 1HMB JSXR 106,2020-07-01,CNY,Home,-4043.03
EE31 4414 4320 9734 8480,2023-04-27,CNY,Food - Condiments,-2676.47
SE62 8016 5946 5597 1357 2508,2023-08-18,EUR,Electronics,1702.39
LV58 DVSN F9A9 2IYI QR88 A,2022-05-21,COP,Food - Beverages,-3004.39
MC64 2064 7123 65Z4 OGCT YH7Q P18,2023-07-01,PHP,Food - Condiments,556.63
SI25 9975 1659 6254 633,2025-02-28,NOK,Fitness,2933.36
SI47 2316 3322 4780 596,2021-01-12,PEN,Food - Snacks,1850.32
FR62 7733 1191 92WY KKY1 ZJTZ N33,2025-12-14,CNY,Clothing - Tops,-556.33
AZ94 TNGO MSUM RPZQ YKBO 3P9R EQWA,2021-12-20,EUR,Toys,-1633.9
PS07 WGTZ 0UT7 28VN BZJ8 OOTF PWDN N,2022-03-02,CNY,Food,-193.48
GL09 6504 7786 8469 40,2020-08-07,UZS,Food - Condiments,411.53
IL93 8991 6054 8260 4656 027,2022-01-21,AZN,Bicycles,-1698.41
GL62 0506 8840 5977 18,2025-10-12,IDR,Fitness,1717.96
ES12 3977 2216 6624 1161 7820,2022-08-23,AMD,Food - Pasta,567.02
FR79 5724 8557 65W8 NK19 5ZIM 628,2020-03-03,EUR,Food - Condiments,-3075.99
